=== test_sub1  (test_acc=41.73%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
   28      0.0635     99.93%    1.3364    72.34%
   29      0.0618     99.97%    1.3363    73.51%
   30      0.0618     99.94%    1.1904    74.64%
   31      0.0607     99.97%    1.4121    71.51%
   32      0.0604     99.95%    1.2142    74.51%
   33      0.0595     99.99%    1.1635    74.78%
   34      0.0590    100.00%    1.2411    73.67%
   35      0.0591     99.98%    1.2633    73.87%
   36      0.0587     99.99%    1.2621    73.85%
   37      0.0582    100.00%    1.2043    74.89%
   38      0.0578    100.00%    1.1867    75.13%
   39      0.0581     99.99%    1.3290    72.95%
   40      0.0579     99.98%    1.2091    74.39%
   41      0.0577    100.00%    1.2258    74.23%
   42      0.0575     99.99%    1.2608    73.40%
   43      0.0576     99.99%    1.2166    74.06%
   44      0.0574     99.99%    1.1987    74.32%
   45      0.0572    100.00%    1.2306    73.79%
   46      0.0573    100.00%    1.2662    73.56%
   47      0.0570    100.00%    1.1926    74.41%
   48      0.0570     99.99%    1.2256    73.92%
   49      0.0573    100.00%    1.2683    73.61%
   50      0.0572    100.00%    1.2641    73.49%

=== test_sub9  (test_acc=68.69%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
    1      0.4911     83.90%    0.6074    75.81%
    2      0.1892     96.43%    0.4942    81.25%
    3      0.1301     98.25%    0.5858    82.65%
    4      0.1082     98.88%    0.4255    87.24%
    5      0.1032     98.88%    0.6572    81.95%
    6      0.0970     99.05%    0.4556    85.67%
    7      0.0936     99.19%    0.8059    81.26%
    8      0.0876     99.42%    0.5160    86.36%
    9      0.0768     99.76%    0.7978    81.97%
   10      0.0824     99.55%    0.5784    85.44%
   11      0.0811     99.53%    0.5040    87.02%
   12      0.0804     99.54%    0.9895    79.52%
   13      0.0745     99.80%    0.6849    84.49%
   14      0.0749     99.73%    0.7030    83.06%
   15      0.0696     99.90%    0.7190    83.91%
   16      0.0707     99.87%    0.5226    86.54%
   17      0.0697     99.83%    0.5294    86.30%
   18      0.0686     99.92%    0.5178    87.44%
   19      0.0658     99.97%    0.4882    87.62%
   20      0.0659     99.96%    0.5980    84.11%
   21      0.0649     99.96%    0.6162    85.30%
   22      0.0660     99.93%    0.5162    86.63%
   23      0.0674     99.85%    0.5742    85.62%
   24      0.0654     99.90%    0.5667    86.07%
   25      0.0633     99.97%    0.4745    87.42%
   26      0.0620     99.98%    0.6338    84.86%
   27      0.0625     99.93%    0.6432    83.64%
   28      0.0612     99.99%    0.4994    86.72%
   29      0.0606     99.98%    0.5273    85.40%
   30      0.0603    100.00%    0.5241    86.66%
   31      0.0596     99.99%    0.5594    85.71%
   32      0.0595    100.00%    0.5168    86.59%
   33      0.0595     99.99%    0.5888    84.94%
   34      0.0586    100.00%    0.5153    86.05%
   35      0.0584    100.00%    0.5300    86.03%
   36      0.0586     99.97%    0.4627    87.54%
   37      0.0580    100.00%    0.5165    85.24%
   38      0.0578    100.00%    0.4573    86.65%
   39      0.0576    100.00%    0.4459    86.97%
   40      0.0580     99.98%    0.4901    86.00%
   41      0.0571    100.00%    0.5312    85.75%
   42      0.0573    100.00%    0.5411    85.28%
   43      0.0573    100.00%    0.4918    85.85%
   44      0.0571    100.00%    0.5548    84.45%
   45      0.0567    100.00%    0.4889    86.05%
   46      0.0574     99.99%    0.4827    85.89%
   47      0.0568    100.00%    0.4999    85.57%
   48      0.0567    100.00%    0.5112    85.37%
   49      0.0568    100.00%    0.5219    85.19%
   50      0.0565    100.00%    0.5278    85.37%

=== test_sub10  (test_acc=69.64%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
    1      0.4873     83.94%    0.5957    77.27%
    2      0.1789     96.86%    0.6961    75.70%
    3      0.1314     98.07%    0.6724    79.52%
    4      0.1061     98.88%    0.7757    78.19%
    5      0.1010     98.97%    0.7814    76.49%
    6      0.0924     99.28%    0.7577    77.75%
    7      0.0826     99.58%    1.0992    73.83%
    8      0.0807     99.66%    0.9196    76.24%
    9      0.0877     99.33%    0.9229    77.47%
   10      0.0849     99.43%    0.8979    77.11%
   11      0.0795     99.61%    0.7219    80.85%
   12      0.0741     99.79%    0.7796    79.34%
   13      0.0739     99.76%    0.7802    82.27%
   14      0.0739     99.78%    1.0739    76.82%
   15      0.0725     99.78%    0.9368    76.76%
   16      0.0693     99.89%    0.8412    78.60%
   17      0.0697     99.88%    0.6442    81.88%
   18      0.0697     99.87%    0.8053    78.51%
   19      0.0697     99.81%    0.4647    87.42%
   20      0.0712     99.79%    0.8527    78.33%
   21      0.0673     99.88%    0.9882    75.45%
   22      0.0662     99.91%    0.7813    79.95%
   23      0.0642     99.96%    0.8669    79.00%
   24      0.0644     99.96%    0.9631    79.54%
   25      0.0637     99.93%    0.8419    78.01%
