=== test_sub1  (test_acc=72.96%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
   45      1.3871    100.00%    0.0001   100.00%
   46      1.3873    100.00%    0.0001   100.00%
   47      1.3870    100.00%    0.0001   100.00%
   48      1.3871    100.00%    0.0001   100.00%
   49      1.3871    100.00%    0.0001   100.00%
   50      1.3872     99.99%    0.0001   100.00%

=== test_sub11  (test_acc=86.66%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
    1      2.0293     74.89%    0.3524    91.13%
    2      1.6777     91.74%    0.1681    97.19%
    3      1.5648     96.48%    0.0804    99.62%
    4      1.4997     98.65%    0.0389   100.00%
    5      1.4683     99.41%    0.0221   100.00%
    6      1.4446     99.64%    0.0129   100.00%
    7      1.4309     99.78%    0.0083   100.00%
    8      1.4205     99.83%    0.0057   100.00%
    9      1.4157     99.91%    0.0037   100.00%
   10      1.4074     99.90%    0.0028   100.00%
   11      1.4043     99.93%    0.0022   100.00%
   12      1.4010     99.93%    0.0019   100.00%
   13      1.3982     99.94%    0.0013   100.00%
   14      1.3963     99.94%    0.0010   100.00%
   15      1.3938     99.98%    0.0008   100.00%
   16      1.3922     99.97%    0.0007   100.00%
   17      1.3921     99.96%    0.0005   100.00%
   18      1.3908     99.98%    0.0005   100.00%
   19      1.3898     99.99%    0.0004   100.00%
   20      1.3896     99.99%    0.0003   100.00%
   21      1.3892     99.99%    0.0003   100.00%
   22      1.3888     99.98%    0.0003   100.00%
   23      1.3889     99.98%    0.0002   100.00%
   24      1.3885     99.99%    0.0002   100.00%
   25      1.3882     99.99%    0.0002   100.00%
   26      1.3879    100.00%    0.0002   100.00%
   27      1.3882     99.99%    0.0002   100.00%
   28      1.3879    100.00%    0.0001   100.00%
   29      1.3881     99.99%    0.0001   100.00%
   30      1.3877    100.00%    0.0001   100.00%
   31      1.3878     99.99%    0.0001   100.00%
   32      1.3878    100.00%    0.0001   100.00%
   33      1.3876     99.99%    0.0001   100.00%
   34      1.3876    100.00%    0.0001   100.00%
   35      1.3876    100.00%    0.0001   100.00%
   36      1.3876     99.99%    0.0001   100.00%
   37      1.3875    100.00%    0.0001   100.00%
   38      1.3874    100.00%    0.0001   100.00%
   39      1.3874    100.00%    0.0001   100.00%
   40      1.3873     99.99%    0.0001   100.00%
   41      1.3874     99.99%    0.0001   100.00%
   42      1.3873    100.00%    0.0001   100.00%
   43      1.3871    100.00%    0.0001   100.00%
   44      1.3872    100.00%    0.0001   100.00%
   45      1.3872    100.00%    0.0001   100.00%
   46      1.3874     99.98%    0.0001   100.00%
   47      1.3872    100.00%    0.0001   100.00%
   48      1.3872    100.00%    0.0001   100.00%
   49      1.3872    100.00%    0.0001   100.00%
   50      1.3872    100.00%    0.0001   100.00%

=== test_sub12  (test_acc=59.26%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
    1      2.0278     75.52%    0.3272    91.65%
    2      1.6612     92.56%    0.1423    98.29%
    3      1.5455     96.93%    0.0718    99.68%
    4      1.5045     98.63%    0.0377   100.00%
    5      1.4655     99.28%    0.0196   100.00%
    6      1.4411     99.67%    0.0115   100.00%
    7      1.4316     99.77%    0.0080   100.00%
    8      1.4205     99.84%    0.0052   100.00%
    9      1.4126     99.88%    0.0035   100.00%
   10      1.4075     99.90%    0.0027   100.00%
   11      1.4024     99.93%    0.0019   100.00%
   12      1.4000     99.92%    0.0018   100.00%
   13      1.3970     99.98%    0.0013   100.00%
   14      1.3963     99.96%    0.0011   100.00%
   15      1.3938     99.96%    0.0008   100.00%
   16      1.3927     99.98%    0.0007   100.00%
   17      1.3920     99.99%    0.0005   100.00%
   18      1.3911     99.97%    0.0004   100.00%
   19      1.3906     99.98%    0.0004   100.00%
   20      1.3902     99.99%    0.0004   100.00%
   21      1.3896    100.00%    0.0002   100.00%
   22      1.3891     99.99%    0.0003   100.00%
   23      1.3887    100.00%    0.0002   100.00%
   24      1.3890     99.99%    0.0002   100.00%
   25      1.3888     99.98%    0.0002   100.00%
   26      1.3883    100.00%    0.0002   100.00%
   27      1.3881    100.00%    0.0002   100.00%
   28      1.3882     99.99%    0.0001   100.00%
   29      1.3883     99.96%    0.0001   100.00%
   30      1.3879     99.99%    0.0001   100.00%
   31      1.3877    100.00%    0.0001   100.00%
   32      1.3876    100.00%    0.0001   100.00%
   33      1.3875     99.99%    0.0001   100.00%
   34      1.3877     99.99%    0.0001   100.00%
   35      1.3876     99.99%    0.0001   100.00%
   36      1.3876    100.00%    0.0001   100.00%
   37      1.3875    100.00%    0.0001   100.00%
